Age,Male,Female,Intersex
Total,23548056,24014716,1524
0,552508,552528,38
1,580856,573920,29
2,614005,610705,33
3,619989,621941,26
4,638986,627675,28
0 - 4,3006344,2986769,154
5,626157,610459,40
6,635924,635942,30
7,609615,601301,24
8,618618,616833,46
9,626637,620981,36
05-Sep,3116951,3085516,176
10,700526,678721,33
11,573757,591394,33
12,686954,648485,36
13,635152,628630,29
14,613371,588912,39
Oct-14,3209760,3136142,170
15,611376,583931,34
16,553944,541378,31
17,561688,528796,27
18,475670,457032,24
19,483586,488305,35
15-19,2686264,2599442,151
20,486633,523210,46
21,406910,444707,44
22,406099,455328,34
23,420329,477116,43
24,392719,434417,39
20-24,2112690,2334778,206
25,454278,485467,51
26,358506,404246,27
27,373128,403578,29
28,318319,353653,19
29,335312,367915,27
25-29,1839543,2014859,153
30,449798,497944,59
31,296545,324359,29
32,369586,407999,24
33,302318,340100,18
34,280431,301485,24
30-34,1698678,1871887,154
35,382439,379319,25
36,256797,251332,21
37,262021,241630,20
38,211212,206305,16
39,235726,223242,11
35-39,1348195,1301828,93
40,310926,285821,20
41,249854,235257,16
42,233583,220164,10
43,199253,199791,11
44,163538,160981,6
40-44,1157154,1102014,63
45,266741,247573,15
46,178394,172948,11
47,185808,176586,11
48,132797,125840,11
49,152594,146924,3
45-49,916334,869871,51
50,195078,194961,24
51,135462,132506,7
52,124802,118504,5
53,94804,94023,2
54,112835,105591,6
50-54,662981,645585,44
55,121805,111997,6
56,120876,120548,6
57,107486,126164,3
58,91116,98592,4
59,105680,113804,7
55-59,546963,571105,26
60,128256,140094,13
61,88589,95821,2
62,75398,76113,4
63,72341,79285,6
64,54857,59240,3
60-64,419441,450553,28
65,82916,93842,5
66,51177,55000,2
67,79991,87492,3
68,38762,40820,2
69,58499,69664,3
65-69,311345,346818,15
70,76946,101211,6
71,49719,56193,5
72,41945,41403,1
73,34684,38090,1
74,32680,41651,4
70-74,235974,278548,17
75,30747,40719,3
76,24647,35303,-
77,25742,33045,3
78,16805,18495,-
79,21354,36258,1
75-79,119295,163820,7
80,28032,46137,-
81,14572,21948,2
82,13255,14923,-
83,14465,18244,-
84,12609,19709,1
80-84,82933,120961,3
85,11334,17469,1
86,8170,10771,-
87,9793,13991,-
88,5071,6572,1
89,9584,20851,2
85-89,43952,69654,4
90,6646,13876,4
91,4885,8801,-
92,3062,4537,-
93,2434,4167,-
94,2201,4488,-
90-94,19228,35869,4
95,3347,6046,-
96,1467,2631,-
97,1963,2799,-
98,1137,2026,-
99,1856,4734,-
95-99,9770,18236,-
100+,3876,10164,-
Not Stated,385,297,5
